EmployeeID,PredictedProbability,RiskLevel,Driver_1,SHAP_1,FeatureValue_1,Impact_1,Driver_2,SHAP_2,FeatureValue_2,Impact_2,Driver_3,SHAP_3,FeatureValue_3,Impact_3
1,0.5851,Medium,OvertimeRisk,2.1862,1,Increases Attrition Risk,StockOptionLevel,1.1128,0.0,Increases Attrition Risk,MaritalStatus_Single,0.5185,1.0,Increases Attrition Risk
2,0.3169,Low,OvertimeRisk,2.0827,0,Increases Attrition Risk,FrequentTraveler,0.9404,1.0,Increases Attrition Risk,NumCompaniesWorked,0.8335,1.0,Increases Attrition Risk
3,0.4039,Medium,OvertimeRisk,2.3229,1,Increases Attrition Risk,StockOptionLevel,1.3249,0.0,Increases Attrition Risk,JobSatisfaction,-0.6522,3.0,Reduces Attrition Risk
4,0.1763,Low,OvertimeRisk,2.0261,1,Increases Attrition Risk,StockOptionLevel,1.3411,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6331,1.0,Increases Attrition Risk
5,0.4298,Medium,OvertimeRisk,1.9883,0,Increases Attrition Risk,FrequentTraveler,0.755,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6825,9.0,Increases Attrition Risk
6,0.3451,Medium,OvertimeRisk,2.1955,0,Increases Attrition Risk,StockOptionLevel,1.1526,0.0,Increases Attrition Risk,JobSatisfaction,-0.617,4.0,Reduces Attrition Risk
7,0.2257,Low,OvertimeRisk,1.6544,1,Increases Attrition Risk,DailyRate,-0.5958,1324.0,Reduces Attrition Risk,Gender_Female,-0.5586,1.0,Reduces Attrition Risk
8,0.158,Low,OvertimeRisk,1.9602,0,Increases Attrition Risk,NumCompaniesWorked,0.7388,1.0,Increases Attrition Risk,DailyRate,-0.6409,1358.0,Reduces Attrition Risk
9,0.1205,Low,OvertimeRisk,2.0819,0,Increases Attrition Risk,StockOptionLevel,1.2954,0.0,Increases Attrition Risk,JobSatisfaction,-0.5579,3.0,Reduces Attrition Risk
10,0.2206,Low,OvertimeRisk,1.7079,0,Increases Attrition Risk,NumCompaniesWorked,0.9381,6.0,Increases Attrition Risk,FrequentTraveler,0.8043,0.0,Increases Attrition Risk
11,0.2012,Low,OvertimeRisk,1.9426,0,Increases Attrition Risk,FrequentTraveler,0.964,0.0,Increases Attrition Risk,DailyRate,-0.4954,809.0,Reduces Attrition Risk
12,0.2232,Low,OvertimeRisk,2.1472,1,Increases Attrition Risk,StockOptionLevel,1.2321,0.0,Increases Attrition Risk,JobSatisfaction,-0.5338,3.0,Reduces Attrition Risk
13,0.3744,Medium,OvertimeRisk,2.0933,0,Increases Attrition Risk,FrequentTraveler,1.0386,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7895,1.0,Increases Attrition Risk
14,0.1381,Low,OvertimeRisk,1.8539,0,Increases Attrition Risk,FrequentTraveler,0.6666,0.0,Increases Attrition Risk,JobRole_Laboratory Technician,0.5541,1.0,Increases Attrition Risk
15,0.6759,High,OvertimeRisk,2.4204,1,Increases Attrition Risk,StockOptionLevel,1.1544,0.0,Increases Attrition Risk,JobSatisfaction,-0.6265,3.0,Reduces Attrition Risk
16,0.5813,Medium,OvertimeRisk,2.153,0,Increases Attrition Risk,FrequentTraveler,1.0097,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6015,1.0,Increases Attrition Risk
17,0.0528,Low,OvertimeRisk,2.0129,1,Increases Attrition Risk,FrequentTraveler,1.0578,0.0,Increases Attrition Risk,DailyRate,-0.5982,334.0,Reduces Attrition Risk
18,0.1253,Low,OvertimeRisk,1.9652,1,Increases Attrition Risk,NumCompaniesWorked,0.7576,1.0,Increases Attrition Risk,BusinessTravel_Non-Travel,-0.5722,1.0,Reduces Attrition Risk
19,0.2093,Low,OvertimeRisk,1.9069,0,Increases Attrition Risk,StockOptionLevel,1.059,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7115,2.0,Increases Attrition Risk
20,0.2792,Low,OvertimeRisk,2.1699,1,Increases Attrition Risk,StockOptionLevel,1.4023,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7102,5.0,Increases Attrition Risk
21,0.2227,Low,OvertimeRisk,2.0328,0,Increases Attrition Risk,FrequentTraveler,1.0216,0.0,Increases Attrition Risk,DailyRate,-0.4886,673.0,Reduces Attrition Risk
22,0.5834,Medium,OvertimeRisk,2.0559,0,Increases Attrition Risk,StockOptionLevel,1.2475,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6589,7.0,Increases Attrition Risk
23,0.232,Low,OvertimeRisk,1.9318,0,Increases Attrition Risk,StockOptionLevel,1.1297,0.0,Increases Attrition Risk,JobSatisfaction,-0.59,2.0,Reduces Attrition Risk
24,0.5888,Medium,OvertimeRisk,2.2701,0,Increases Attrition Risk,StockOptionLevel,1.2134,0.0,Increases Attrition Risk,NumCompaniesWorked,0.9536,1.0,Increases Attrition Risk
25,0.8527,High,OvertimeRisk,2.1148,0,Increases Attrition Risk,StockOptionLevel,1.3466,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7603,2.0,Increases Attrition Risk
26,0.2232,Low,OvertimeRisk,2.1849,0,Increases Attrition Risk,FrequentTraveler,0.6202,0.0,Increases Attrition Risk,DailyRate,-0.6161,1282.0,Reduces Attrition Risk
27,0.7578,High,OvertimeRisk,2.3655,1,Increases Attrition Risk,StockOptionLevel,1.155,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5942,1.0,Increases Attrition Risk
28,0.184,Low,OvertimeRisk,1.9641,0,Increases Attrition Risk,MaritalStatus_Single,-0.6242,0.0,Reduces Attrition Risk,FrequentTraveler,0.5421,0.0,Increases Attrition Risk
29,0.2367,Low,OvertimeRisk,1.9099,0,Increases Attrition Risk,FrequentTraveler,0.8292,0.0,Increases Attrition Risk,NumCompaniesWorked,0.4993,3.0,Increases Attrition Risk
30,0.5898,Medium,OvertimeRisk,2.0054,0,Increases Attrition Risk,StockOptionLevel,1.3275,0.0,Increases Attrition Risk,CareerGrowthScore,-0.4815,0.646,Reduces Attrition Risk
31,0.3028,Low,OvertimeRisk,2.0997,0,Increases Attrition Risk,StockOptionLevel,1.1975,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6063,4.0,Increases Attrition Risk
32,0.2622,Low,OvertimeRisk,1.862,1,Increases Attrition Risk,StockOptionLevel,1.1803,0.0,Increases Attrition Risk,NumCompaniesWorked,0.9238,2.0,Increases Attrition Risk
33,0.2757,Low,OvertimeRisk,2.2515,0,Increases Attrition Risk,StockOptionLevel,1.1596,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6934,1.0,Increases Attrition Risk
34,0.1499,Low,OvertimeRisk,1.5871,0,Increases Attrition Risk,NumCompaniesWorked,0.7739,3.0,Increases Attrition Risk,JobSatisfaction,-0.481,4.0,Reduces Attrition Risk
35,0.2409,Low,OvertimeRisk,1.8671,1,Increases Attrition Risk,NumCompaniesWorked,1.0431,2.0,Increases Attrition Risk,DailyRate,-0.6073,813.0,Reduces Attrition Risk
36,0.1493,Low,OvertimeRisk,1.9875,0,Increases Attrition Risk,FrequentTraveler,1.0048,0.0,Increases Attrition Risk,NumCompaniesWorked,0.521,1.0,Increases Attrition Risk
37,0.7179,High,OvertimeRisk,1.687,1,Increases Attrition Risk,StockOptionLevel,1.3195,0.0,Increases Attrition Risk,NumCompaniesWorked,0.703,1.0,Increases Attrition Risk
38,0.5,Medium,OvertimeRisk,1.709,0,Increases Attrition Risk,StockOptionLevel,1.1531,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5781,1.0,Increases Attrition Risk
39,0.1432,Low,OvertimeRisk,1.8866,1,Increases Attrition Risk,DailyRate,-0.6804,852.0,Reduces Attrition Risk,MaritalStatus_Single,-0.5736,0.0,Reduces Attrition Risk
40,0.2284,Low,OvertimeRisk,1.8812,0,Increases Attrition Risk,FrequentTraveler,0.7915,1.0,Increases Attrition Risk,MaritalStatus_Single,-0.5434,0.0,Reduces Attrition Risk
41,0.1387,Low,OvertimeRisk,1.974,0,Increases Attrition Risk,NumCompaniesWorked,0.716,1.0,Increases Attrition Risk,DailyRate,-0.5909,464.0,Reduces Attrition Risk
42,0.1353,Low,OvertimeRisk,1.9303,0,Increases Attrition Risk,DailyRate,-0.678,1240.0,Reduces Attrition Risk,NumCompaniesWorked,0.5629,1.0,Increases Attrition Risk
43,0.4376,Medium,OvertimeRisk,2.1602,0,Increases Attrition Risk,StockOptionLevel,1.1893,0.0,Increases Attrition Risk,JobSatisfaction,-0.7387,3.0,Reduces Attrition Risk
44,0.8241,High,OvertimeRisk,2.3496,0,Increases Attrition Risk,StockOptionLevel,1.1904,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6026,1.0,Increases Attrition Risk
45,0.1347,Low,OvertimeRisk,2.0196,0,Increases Attrition Risk,StockOptionLevel,1.1424,0.0,Increases Attrition Risk,JobSatisfaction,-0.5322,4.0,Reduces Attrition Risk
46,0.4711,Medium,OvertimeRisk,1.9518,0,Increases Attrition Risk,StockOptionLevel,1.3306,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7236,1.0,Increases Attrition Risk
47,0.8544,High,OvertimeRisk,2.3922,0,Increases Attrition Risk,StockOptionLevel,1.1431,0.0,Increases Attrition Risk,BusinessTravel_Non-Travel,-0.6377,1.0,Reduces Attrition Risk
48,0.4019,Medium,OvertimeRisk,1.9525,0,Increases Attrition Risk,StockOptionLevel,1.1518,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6994,4.0,Increases Attrition Risk
49,0.6613,High,OvertimeRisk,2.0727,1,Increases Attrition Risk,StockOptionLevel,1.129,0.0,Increases Attrition Risk,CareerGrowthScore,-0.552,0.655,Reduces Attrition Risk
50,0.5252,Medium,OvertimeRisk,1.9871,0,Increases Attrition Risk,StockOptionLevel,1.151,0.0,Increases Attrition Risk,NumCompaniesWorked,0.9176,1.0,Increases Attrition Risk
51,0.425,Medium,OvertimeRisk,2.1316,1,Increases Attrition Risk,StockOptionLevel,1.2366,0.0,Increases Attrition Risk,JobSatisfaction,-0.7167,3.0,Reduces Attrition Risk
52,0.7943,High,OvertimeRisk,2.1458,1,Increases Attrition Risk,StockOptionLevel,1.2471,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5932,1.0,Increases Attrition Risk
53,0.4658,Medium,OvertimeRisk,1.7884,1,Increases Attrition Risk,FrequentTraveler,1.0446,0.0,Increases Attrition Risk,DailyRate,-0.5536,1488.0,Reduces Attrition Risk
54,0.4407,Medium,OvertimeRisk,1.873,1,Increases Attrition Risk,NumCompaniesWorked,1.1089,2.0,Increases Attrition Risk,FrequentTraveler,0.6429,0.0,Increases Attrition Risk
55,0.1455,Low,OvertimeRisk,1.6423,1,Increases Attrition Risk,DailyRate,-0.6077,1443.0,Reduces Attrition Risk,MaritalStatus_Single,-0.5912,0.0,Reduces Attrition Risk
