EmployeeID,PredictedProbability,RiskLevel,Driver_1,SHAP_1,FeatureValue_1,Impact_1,Driver_2,SHAP_2,FeatureValue_2,Impact_2,Driver_3,SHAP_3,FeatureValue_3,Impact_3,Department,JobRole,Gender,Age,BusinessTravel,EducationField,MaritalStatus,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,EngagementScore,WellbeingScore,CareerGrowthScore,LoyaltyScore,AttritionRiskScore,RecommendationCategory,AIRecommendation,RetentionPriorityScore,AttritionProbability (%),GlobalRiskRank,DepartmentRiskRank,JobRoleRiskRank,AgeGroup,IncomeBand,CompanyTenure,YearsUntilRetirement,ReviewPriority,ExecutiveAction,RiskPercentile,HighValueEmployee,RetentionActionRequired,HRHealthScore,HealthCategory,HRPriorityIndex,HRPriorityLevel
1,0.5851,Medium,OvertimeRisk,2.1862,1,Increases Attrition Risk,StockOptionLevel,1.1128,0.0,Increases Attrition Risk,MaritalStatus_Single,0.5185,1.0,Increases Attrition Risk,Sales,Sales Executive,Female,41,Travel_Rarely,Life Sciences,Single,5993,6,Yes,4,2,1,2.0,0.333333333,0.417,0.67,0.4,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",59.0,58.51,235,127,93,41–50,High,Experienced,19,Quarterly,No Action Required,83.5,No,No,15.7,Critical,68.83,High
2,0.3169,Low,OvertimeRisk,2.0827,0,Increases Attrition Risk,FrequentTraveler,0.9404,1.0,Increases Attrition Risk,NumCompaniesWorked,0.8335,1.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,49,Travel_Frequently,Life Sciences,Married,5130,10,No,2,3,3,2.333333333,1.333333333,0.68,0.91,0.2,Retention,Understand employee expectations and strengthen long-term retention strategies.,32.0,31.69,683,401,158,41–50,High,Experienced,11,Annual,No Action Required,50.5,No,No,16.1,Critical,52.57,Medium
3,0.4039,Medium,OvertimeRisk,2.3229,1,Increases Attrition Risk,StockOptionLevel,1.3249,0.0,Increases Attrition Risk,JobSatisfaction,-0.6522,3.0,Reduces Attrition Risk,Research & Development,Laboratory Technician,Male,37,Travel_Rarely,Other,Single,2090,0,Yes,3,4,3,2.333333333,1.666666667,0.429,0.0,0.333,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",40.0,40.39,522,286,90,31–40,Low,New,23,Annual,No Action Required,62.8,No,No,16.0,Critical,57.83,Medium
4,0.1763,Low,OvertimeRisk,2.0261,1,Increases Attrition Risk,StockOptionLevel,1.3411,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6331,1.0,Increases Attrition Risk,Research & Development,Research Scientist,Female,33,Travel_Frequently,Life Sciences,Married,2909,8,Yes,3,4,3,3.0,1.666666667,0.267,0.89,0.333,Retention,Understand employee expectations and strengthen long-term retention strategies.,18.0,17.63,994,627,218,31–40,Low,Experienced,27,Annual,No Action Required,26.9,No,No,16.3,Critical,44.06,Medium
5,0.4298,Medium,OvertimeRisk,1.9883,0,Increases Attrition Risk,FrequentTraveler,0.755,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6825,9.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Male,27,Travel_Rarely,Medical,Married,3468,2,No,2,1,3,2.0,0.666666667,0.313,0.29,0.2,Retention,Understand employee expectations and strengthen long-term retention strategies.,43.0,42.98,475,256,81,18–30,Medium,New,33,Annual,No Action Required,66.1,No,No,15.7,Critical,59.51,Medium
6,0.3451,Medium,OvertimeRisk,2.1955,0,Increases Attrition Risk,StockOptionLevel,1.1526,0.0,Increases Attrition Risk,JobSatisfaction,-0.617,4.0,Reduces Attrition Risk,Research & Development,Laboratory Technician,Male,32,Travel_Frequently,Life Sciences,Single,3068,7,No,4,4,2,3.333333333,1.333333333,0.314,0.78,0.133,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",35.0,34.51,628,363,118,31–40,Medium,Experienced,28,Annual,No Action Required,54.6,No,No,16.3,Critical,54.19,Medium
7,0.2257,Low,OvertimeRisk,1.6544,1,Increases Attrition Risk,DailyRate,-0.5958,1324.0,Reduces Attrition Risk,Gender_Female,-0.5586,1.0,Reduces Attrition Risk,Research & Development,Laboratory Technician,Female,59,Travel_Rarely,Medical,Married,2670,1,Yes,1,3,2,1.666666667,1.0,0.548,0.08,0.533,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",23.0,22.57,862,531,160,51–60,Low,New,1,Annual,No Action Required,37.1,No,No,15.7,Critical,47.26,Medium
8,0.158,Low,OvertimeRisk,1.9602,0,Increases Attrition Risk,NumCompaniesWorked,0.7388,1.0,Increases Attrition Risk,DailyRate,-0.6409,1358.0,Reduces Attrition Risk,Research & Development,Laboratory Technician,Male,30,Travel_Rarely,Life Sciences,Divorced,2693,1,No,3,4,3,2.666666667,1.666666667,0.595,0.5,0.333,Retention,Understand employee expectations and strengthen long-term retention strategies.,16.0,15.8,1033,659,200,18–30,Low,New,30,Annual,No Action Required,23.8,No,No,16.2,Critical,43.0,Medium
9,0.1205,Low,OvertimeRisk,2.0819,0,Increases Attrition Risk,StockOptionLevel,1.2954,0.0,Increases Attrition Risk,JobSatisfaction,-0.5579,3.0,Reduces Attrition Risk,Research & Development,Manufacturing Director,Male,38,Travel_Frequently,Life Sciences,Single,9526,9,No,3,4,3,2.333333333,1.666666667,0.716,0.82,0.333,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",12.0,12.05,1140,741,108,31–40,Very High,Experienced,22,Annual,No Action Required,15.3,No,No,16.2,Critical,40.75,Medium
10,0.2206,Low,OvertimeRisk,1.7079,0,Increases Attrition Risk,NumCompaniesWorked,0.9381,6.0,Increases Attrition Risk,FrequentTraveler,0.8043,0.0,Increases Attrition Risk,Research & Development,Healthcare Representative,Male,36,Travel_Rarely,Medical,Married,5237,7,No,3,3,2,2.333333333,1.0,0.309,0.39,0.6,Retention,Understand employee expectations and strengthen long-term retention strategies.,22.0,22.06,873,539,69,31–40,High,Experienced,24,Annual,No Action Required,36.3,No,No,15.8,Critical,46.92,Medium
