EmployeeID,PredictedProbability,RiskLevel,Driver_1,SHAP_1,FeatureValue_1,Impact_1,Driver_2,SHAP_2,FeatureValue_2,Impact_2,Driver_3,SHAP_3,FeatureValue_3,Impact_3,Department,JobRole,Gender,Age,BusinessTravel,EducationField,MaritalStatus,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,EngagementScore,WellbeingScore,CareerGrowthScore,LoyaltyScore,AttritionRiskScore,RecommendationCategory,AIRecommendation,RetentionPriorityScore
1404,0.9544,High,OvertimeRisk,2.2219,0,Increases Attrition Risk,StockOptionLevel,1.0938,0.0,Increases Attrition Risk,JobRole_Sales Executive,0.5498,1.0,Increases Attrition Risk,Sales,Sales Executive,Male,39,Travel_Rarely,Marketing,Single,13341,20,No,1,2,3,1.0,1.0,0.363,0.91,0.667,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",100.0
839,0.9476,High,OvertimeRisk,2.1292,1,Increases Attrition Risk,StockOptionLevel,1.1337,0.0,Increases Attrition Risk,RelationshipSatisfaction,-0.5274,2.0,Reduces Attrition Risk,Sales,Sales Executive,Male,42,Travel_Frequently,Life Sciences,Single,13758,21,Yes,1,3,2,1.666666667,1.0,0.318,0.91,0.733,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",100.0
690,0.9389,High,OvertimeRisk,2.0899,0,Increases Attrition Risk,StockOptionLevel,1.3,0.0,Increases Attrition Risk,NumCompaniesWorked,0.7535,1.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Male,20,Travel_Rarely,Technical Degree,Single,2973,1,No,1,1,3,1.0,0.666666667,0.524,0.5,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,99.0
1061,0.9347,High,OvertimeRisk,1.9613,1,Increases Attrition Risk,StockOptionLevel,1.175,0.0,Increases Attrition Risk,NumCompaniesWorked,0.8491,2.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Male,24,Travel_Frequently,Medical,Single,3172,0,Yes,1,2,2,1.666666667,0.666666667,0.333,0.0,0.533,Retention,Understand employee expectations and strengthen long-term retention strategies.,98.0
792,0.9316,High,OvertimeRisk,2.3341,1,Increases Attrition Risk,StockOptionLevel,1.3022,0.0,Increases Attrition Risk,MaritalStatus_Single,0.475,1.0,Increases Attrition Risk,Sales,Sales Executive,Male,35,Travel_Rarely,Technical Degree,Single,9582,8,Yes,1,4,3,1.666666667,1.666666667,0.673,0.8,0.467,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",98.0
830,0.9067,High,OvertimeRisk,1.9758,1,Increases Attrition Risk,StockOptionLevel,0.9856,0.0,Increases Attrition Risk,FrequentTraveler,0.5883,0.0,Increases Attrition Risk,Sales,Sales Executive,Female,33,Travel_Rarely,Marketing,Single,8224,5,Yes,1,1,3,0.666666667,0.666666667,0.56,0.71,0.467,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",96.0
102,0.8965,High,OvertimeRisk,2.0905,0,Increases Attrition Risk,StockOptionLevel,1.5249,0.0,Increases Attrition Risk,NumCompaniesWorked,0.906,1.0,Increases Attrition Risk,Research & Development,Research Scientist,Male,32,Travel_Rarely,Life Sciences,Single,2956,1,No,1,4,3,2.666666667,1.666666667,0.381,0.5,0.267,Retention,Understand employee expectations and strengthen long-term retention strategies.,95.0
778,0.9023,High,OvertimeRisk,2.1277,0,Increases Attrition Risk,StockOptionLevel,1.1342,0.0,Increases Attrition Risk,NumCompaniesWorked,0.5993,1.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Female,21,Travel_Rarely,Life Sciences,Single,1416,1,No,1,3,2,1.0,1.0,0.359,0.5,0.333,Retention,Understand employee expectations and strengthen long-term retention strategies.,95.0
1172,0.9017,High,OvertimeRisk,2.2137,1,Increases Attrition Risk,StockOptionLevel,1.1786,0.0,Increases Attrition Risk,NumCompaniesWorked,0.6809,3.0,Increases Attrition Risk,Research & Development,Laboratory Technician,Male,40,Travel_Rarely,Life Sciences,Single,2166,4,Yes,1,1,1,1.0,0.0,0.405,0.36,0.6,Retention,Understand employee expectations and strengthen long-term retention strategies.,95.0
574,0.8989,High,OvertimeRisk,2.3075,0,Increases Attrition Risk,StockOptionLevel,1.225,0.0,Increases Attrition Risk,Age,-0.4844,26.0,Reduces Attrition Risk,Sales,Sales Executive,Male,26,Travel_Rarely,Technical Degree,Single,5326,4,No,1,4,2,2.0,1.333333333,0.537,0.57,0.333,Maintain Engagement,"Employee currently demonstrates low attrition risk. Continue regular engagement, recognition, and career development initiatives.",95.0
