Feature,Importance
MaritalStatus_Single,0.14653738
ManagerStabilityLevel_Low,0.113679305
Department_Research & Development,0.04597906
TenureCommitment_High,0.04088919
JobRole_Laboratory Technician,0.031219797
JobLevel,0.03071213
OvertimeRisk,0.028769521
WellbeingLevel_Very High,0.025116613
JobRole_Sales Executive,0.023473572
JobRole_Manufacturing Director,0.022809263
StockOptionLevel,0.01964101
JobRole_Research Scientist,0.014404514
AttritionRiskLevel_Critical Risk,0.013693044
Department_Human Resources,0.01349138
SeniorEmployee,0.013301739
EngagementLevel_High,0.012966612
AttritionRiskLevel_Moderate Risk,0.012632528
LongCommute,0.012372845
FrequentTraveler,0.0119878305
JobInvolvement,0.011859242
YoungProfessional,0.011570504
ManagerStabilityLevel_Medium,0.01139438
CommuteBand_Moderate,0.01129149
WellbeingLevel_Medium,0.011089984
EngagementScore,0.010667147
TotalWorkingYears,0.010257518
ExperienceRatio,0.009923346
ExperienceMaturity_Beginner,0.009850967
AttritionRiskScore,0.009423419
ExperienceMaturity_Veteran,0.008529622
WorkLifeBalance,0.008148298
EngagementLevel_Medium,0.007813399
CareerGrowthLevel_Low,0.006961192
EducationField_Other,0.006942017
EducationField_Life Sciences,0.006927437
ManagerStabilityLevel_High,0.0065926374
YearsWithCurrManager,0.0064159236
NumCompaniesWorked,0.0064067654
RelationshipSatisfaction,0.006230555
EngagementLevel_Low,0.006194334
TenureRatio,0.0061894665
CareerGrowthScore,0.0061541433
LoyaltyLevel_Medium,0.006002473
JobRole_Sales Representative,0.0057183076
EnvironmentSatisfaction,0.0054951077
IncomeBand_Medium,0.0053975987
Education,0.0053458973
BusinessTravel_Travel_Rarely,0.005334481
YearsInCurrentRole,0.004952904
CareerStage_Experienced,0.0049003623
TenureCommitment_Moderate,0.0047976435
JobSatisfaction,0.004570898
YearsSinceLastPromotion,0.0045313095
LoyaltyLevel_Very High,0.0044705584
CareerGrowthLevel_Medium,0.0044660363
ExperienceMaturity_Experienced,0.0044562854
IncomePerJobLevel,0.0044530085
WellbeingLevel_High,0.004324198
AttritionRiskLevel_Low Risk,0.0042388537
CommuteBand_Near,0.004195706
Age,0.004181191
Gender_Female,0.0039920853
DistanceFromHome,0.0039169467
JobRole_Healthcare Representative,0.0038669468
LoyaltyScore,0.0038218377
BusinessTravel_Non-Travel,0.0036457044
EducationField_Medical,0.003551072
YearsAtCompany,0.0034650278
IncomeBand_Low,0.0033059632
DailyRate,0.0032341012
MaritalStatus_Divorced,0.0031961065
MonthlyIncome,0.0031098104
WellbeingScore,0.0030778898
CareerStage_Mid Career,0.0030472162
Department_Sales,0.0029160918
EducationField_Marketing,0.0028404694
TrainingTimesLastYear,0.0027258708
LoyaltyLevel_High,0.0027109385
WellbeingLevel_Low,0.0026100525
HourlyRate,0.0023838917
MaritalStatus_Married,0.0021200385
CommuteBand_Far,0.0019994264
SalaryPercentile,0.0019105244
PercentSalaryHike,0.0018462723
MonthlyRate,0.0017308833
ManagerStability,0.001714552
EducationField_Technical Degree,0.0011247268
IncomeBand_High,0.0010901387
AttritionRiskLevel_High Risk,0.0007224097
IncomeBand_Very High,0.0006190208
ExperienceMaturity_Developing,0.0005439765
CareerStage_Early Career,0.0005209573
CareerGrowthLevel_High,0.00027647696
PromotionDelay,1.8522136e-05
EducationField_Human Resources,0.0
BusinessTravel_Travel_Frequently,0.0
PerformanceRating,0.0
Gender_Male,0.0
ExperienceBand_Senior,0.0
ExperienceBand_Junior,0.0
ExperienceBand_Intermediate,0.0
ExperienceBand_Expert,0.0
OverTime_Yes,0.0
CareerStage_Senior,0.0
JobRole_Research Director,0.0
OverTime_No,0.0
JobRole_Manager,0.0
JobRole_Human Resources,0.0
CareerGrowthLevel_Excellent,0.0
EngagementLevel_Very High,0.0
ManagerStabilityLevel_Very High,0.0
LoyaltyLevel_Low,0.0
TenureCommitment_Low,0.0
TenureCommitment_Very High,0.0
